Gene_id	GO terms
ofav27340	GO:0005801;GO:0033116;GO:0030134;GO:0005794;GO:0000137;GO:0032580;GO:0000139;GO:0005874;GO:0072686;GO:0005634;GO:0000922;GO:0045296;GO:0061676;GO:0008017;GO:0019901;GO:0019905;GO:0008356;GO:0051297;GO:0048208;GO:0006888;GO:0090166;GO:0090161;GO:0007020;GO:0090307;GO:0010507;GO:0032091;GO:0060050;GO:1904668;GO:0006486;GO:0051289;GO:0051225;GO:0090306
ofav98042	GO:0005737;GO:0005829;GO:0005789;GO:0045025;GO:0005758;GO:0005739;GO:0005634;GO:0042788;GO:0000175;GO:0035198;GO:0034046;GO:0008266;GO:0004654;GO:0003723;GO:0035458;GO:0034599;GO:0097421;GO:0000958;GO:0097222;GO:0000965;GO:0000964;GO:0000957;GO:0070584;GO:0071850;GO:0006402;GO:0045926;GO:0071042;GO:2000627;GO:0000962;GO:0061014;GO:0051260;GO:0070207;GO:0043457;GO:2000772;GO:0051591;GO:0060416;GO:0006401;GO:0035927;GO:0043631;GO:0035928
ofav80690	GO:0005923;GO:0044291;GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005886;GO:0055037;GO:0055038;GO:0019003;GO:0005525;GO:0003713;GO:0090557;GO:0030336;GO:0031954;GO:0032486;GO:0061097
ofav120797	GO:0005901;GO:0005737;GO:0005829;GO:0005811;GO:0005739;GO:0005634;GO:0033878;GO:0016298;GO:0042134;GO:0008203;GO:0016042;GO:0006363;GO:0006361;GO:0019433
ofav40921	GO:0006950
ofav52196	GO:0000790;GO:0005634;GO:0005667;GO:0003677;GO:0000978;GO:0000981;GO:0003713;GO:0008134;GO:0044212;GO:0032870;GO:0071222;GO:0006955;GO:0000122;GO:0045597;GO:0051091;GO:0045944;GO:0045893;GO:0007265;GO:0051726;GO:0010941;GO:0042127;GO:0051591;GO:0034097;GO:0042493;GO:0009612;GO:0009314;GO:0006351
ofav41723	GO:0005887;GO:0015173;GO:0015349
ofav38233	GO:0009331;GO:0005743;GO:0005509;GO:0052591;GO:0043010;GO:0006094;GO:0019563;GO:0006072;GO:0035264
ofav117409	GO:0005634;GO:0004879;GO:0043565;GO:0003707;GO:0003700;GO:0008270;GO:0000122;GO:0006351
ofav44072	GO:0005829;GO:0004303;GO:0047045;GO:0006706
ofav38036	
ofav57107	GO:0016607;GO:0005654;GO:0000347;GO:0000445;GO:0000346;GO:0003729;GO:0048699;GO:0031124;GO:0006406;GO:0048666;GO:0016973;GO:0006405;GO:0008380;GO:0006369;GO:0046784
ofav6404	GO:0005829;GO:0005783;GO:0005634;GO:0051117;GO:0008233;GO:0032183;GO:0004843;GO:0036459;GO:0043130;GO:0031625;GO:1904455;GO:0006464;GO:1904293;GO:0016579;GO:0071108;GO:0070536;GO:0006508;GO:0006511
ofav86731	GO:0005829;GO:0016020;GO:0005654;GO:0048471;GO:0005524;GO:0016301;GO:0004674;GO:0030296;GO:0071407;GO:0060996;GO:0097194;GO:2001271;GO:0018105;GO:0043065;GO:2001238;GO:0046777
ofav4737	GO:0005737;GO:0005634;GO:0006915;GO:0016567;GO:2000001
ofav23197	GO:0005737;GO:0005634;GO:0006886
ofav105955	GO:0005929;GO:0005737;GO:0005856;GO:0030991;GO:0060271;GO:0035721;GO:0007275;GO:0045879;GO:0061512
ofav73917	GO:0005743;GO:0005525;GO:0006915;GO:0032543;GO:0010941;GO:0043457
ofav55009	GO:0005737;GO:0005829;GO:0005524;GO:0004817;GO:0046872;GO:0000049;GO:0006423
ofav10541	GO:0005737;GO:0005829;GO:0010008;GO:0000814;GO:0070062;GO:0005739;GO:0005634;GO:0042803;GO:0047485;GO:0005198;GO:0043328;GO:0006355;GO:0006351
ofav152103	GO:0005929;GO:0005737;GO:0005856;GO:0030991;GO:0031514;GO:0097730;GO:0005654;GO:0032391;GO:0001750;GO:0000902;GO:0060830;GO:0060271;GO:0055123;GO:0042471;GO:0031076;GO:0048701;GO:0030326;GO:0008406;GO:0001701;GO:0035721;GO:0061055;GO:0050877;GO:0061512;GO:0007224;GO:0060831
ofav86789	GO:0005737;GO:0005634;GO:0004843;GO:0006284;GO:0042675;GO:0030177;GO:0016579;GO:0050821;GO:0042981;GO:0031935;GO:0006511
ofav57515	GO:0005576;GO:0016020
ofav43679	GO:0005737;GO:0070062;GO:0005524;GO:0061631;GO:0061630;GO:0031625;GO:0004842;GO:0070936;GO:0070534;GO:0000209;GO:0016567;GO:0006511
ofav34463	GO:0005829;GO:0003977;GO:0006048
ofav112514	GO:0005615;GO:0005730;GO:0005654;GO:0003723;GO:0006355;GO:0006351
ofav67597	GO:0005737;GO:0042060
ofav148142	GO:0005730;GO:0003723
